title,date,summary,description
Welcome aboard: These are college football's top newcomers,"Fri, 9 May 2025 15:01:18 EST","From top recruits to big-time transfers, these players look to impact the College Football Playoff hopefuls.","From top recruits to big-time transfers, these players look to impact the College Football Playoff hopefuls."
Post-spring Way-Too-Early Top 25: Where do Texas and Notre Dame rank?,"Fri, 9 May 2025 15:01:18 EST",Where do the top teams stand after spring practice and roster movement from the transfer portal?,Where do the top teams stand after spring practice and roster movement from the transfer portal?
"Tiger's son, Charlie, fails to qualify for U.S. Open","Fri, 9 May 2025 15:04:19 EST","Sixteen-year-old Charlie Woods, son of Tiger Woods, failed in his second attempt to qualify for the U.S. Open.","Sixteen-year-old Charlie Woods, son of Tiger Woods, failed in his second attempt to qualify for the U.S. Open."
UNC: Belichick's girlfriend welcome at school,"Fri, 9 May 2025 15:04:19 EST",North Carolina issued a statement saying Bill Belichick's girlfriend is still welcome at football facilities.,North Carolina issued a statement saying Bill Belichick's girlfriend is still welcome at football facilities.
Pats DC Williams dealing with medical condition,"Fri, 9 May 2025 15:04:19 EST","Patriots defensive coordinator Terrell Williams is not with the team at rookie minicamp as he is ""working through a medical condition,"" coach Mike Vrabel announced Friday.","Patriots defensive coordinator Terrell Williams is not with the team at rookie minicamp as he is ""working through a medical condition,"" coach Mike Vrabel announced Friday."
Sean Taylor's brother Gabe in Commanders camp,"Fri, 9 May 2025 15:04:19 EST","Gabe Taylor, the younger brother of late Washington safety Sean Taylor, is attending Commanders rookie camp.","Gabe Taylor, the younger brother of late Washington safety Sean Taylor, is attending Commanders rookie camp."
Steelers' GM Khan: Pickens trade 'made sense',"Fri, 9 May 2025 15:04:19 EST","Steelers general manager Omar Khan defended the trade that sent receiver George Pickens to the Cowboys, saying Friday that the deal ""made sense for everyone.""","Steelers general manager Omar Khan defended the trade that sent receiver George Pickens to the Cowboys, saying Friday that the deal ""made sense for everyone."""
Browns GM: RB Chubb deal 'increasingly unlikely',"Fri, 9 May 2025 15:04:19 EST","Browns general manager Andrew Berry said in a radio interview that he kept in contact with running back Nick Chubb and his representatives leading into the draft but hasn't been in ""strong communication"" since then.","Browns general manager Andrew Berry said in a radio interview that he kept in contact with running back Nick Chubb and his representatives leading into the draft but hasn't been in ""strong communication"" since then."
Texans rookie Higgins makes history with deal,"Fri, 9 May 2025 15:04:19 EST",Texans rookie wide receiver Jayden Higgins has become the first second-round pick in NFL history to receive a fully guaranteed contract.,Texans rookie wide receiver Jayden Higgins has become the first second-round pick in NFL history to receive a fully guaranteed contract.
Giants top draft pick Carter picks jersey No. 51,"Fri, 9 May 2025 15:04:19 EST",Giants first-round draft pick Abdul Carter has chosen to wear No. 51 for his rookie season after flirting with the possibilities of donning the retired numbers of legends Lawrence Taylor (56) and Phil Simms (11).,Giants first-round draft pick Abdul Carter has chosen to wear No. 51 for his rookie season after flirting with the possibilities of donning the retired numbers of legends Lawrence Taylor (56) and Phil Simms (11).
📈 Metallica rocks Va. Tech with 'Enter Sandman',"Fri, 9 May 2025 15:04:19 EST",Metallica's hit song inspired fans to create a small earthquake at Virginia Tech's Lane Stadium.,Metallica's hit song inspired fans to create a small earthquake at Virginia Tech's Lane Stadium.
